FxCycle,H3K9ac,Caspase3,H3K14ac,phH3_S10,PAX6,H3K27ac,H3K4me3,Total H3,clusterid
4.4864,4.6701,-0.15328,0.40682,0.058692,2.4764,3.9295,5.1838,1.6321,NPC/G0_G1/H3
4.3958,4.1188,-0.52379,0.2387,-0.0089713,2.1211,2.8046,4.8465,1.2652,NPC/G0_G1/H3
4.2131,4.6055,-0.090614,0.42303,-0.091538,2.3571,3.6881,5.0873,1.35,NPC/G0_G1/H3
4.4549,4.4002,-0.25451,0.33953,-0.22019,2.8348,3.8895,5.0228,1.2529,NPC/G0_G1/H3
3.9342,4.3901,-0.43901,0.082766,0.25304,2.5542,3.7248,4.7337,0.94215,NPC/G0_G1/H3
4.1742,4.6227,-0.47583,0.32184,0.068604,2.1661,3.6986,4.7769,1.1841,NPC/G0_G1/H3
4.2983,4.3076,-0.46994,0.049957,0.0651,2.4142,3.2481,4.8844,1.3057,NPC/G0_G1/H3
4.1072,4.2278,-0.46345,0.16812,0.39904,3.0365,3.4927,5.0076,1.616,NPC/G0_G1/H3
4.2085,4.3795,-0.33809,0.35478,-0.14633,2.3863,3.4794,4.7614,1.3497,NPC/G0_G1/H3
4.1339,4.4144,0.20392,0.062698,0.2997,2.5017,3.4521,4.8403,0.99346,NPC/G0_G1/H3
4.3264,4.7374,-0.47391,0.22983,-0.038158,1.8233,3.7496,5.1744,1.4196,NPC/G0_G1/H3
3.7511,4.3999,-0.075549,0.082136,0.2943,2.3297,2.7928,4.5056,1.1659,NPC/G0_G1/H3
4.0798,4.197,-0.36481,0.16625,0.37582,2.4047,3.0214,5.0884,1.2983,NPC/G0_G1/H3
4.3955,3.9919,-0.17659,0.11473,0.081665,2.4618,2.9761,4.7977,1.497,NPC/G0_G1/H3
3.9427,4.5128,-0.21423,0.35747,0.24551,2.0236,3.941,5.0865,1.6337,NPC/G0_G1/H3
3.741,4.5738,0.081893,0.27053,-0.050897,2.6946,3.5189,4.819,2.1827,NPC/G0_G1/H3
4.3629,4.2391,0.189,0.25838,0.18223,2.6926,3.3493,5.0099,0.73915,NPC/G0_G1/H3
4.1411,4.936,-0.40412,0.47553,0.33463,1.6653,4.7428,5.5648,2.5369,NPC/G0_G1/H3
3.6223,4.4472,-0.17711,0.11748,0.20182,2.1472,3.3998,4.5752,1.1374,NPC/G0_G1/H3
4.3807,4.7334,0.046325,0.11035,0.31432,3.2337,3.7998,5.2274,2.4867,NPC/G0_G1/H3
4.0171,4.1679,0.51416,0.16013,0.48008,2.8154,3.4184,4.9855,2.1338,NPC/G0_G1/H3
4.1193,4.0848,-0.20063,0.057006,0.29981,2.6396,3.3826,4.9795,1.4823,NPC/G0_G1/H3
4.3314,4.6385,-0.095635,0.1861,0.19339,2.3725,4.2344,5.1048,2.5368,NPC/G0_G1/H3
4.4951,4.4816,-0.52444,0.09461,0.01595,2.1373,3.0571,4.7297,0.8889,NPC/G0_G1/H3
4.1343,3.9163,-0.207,0.12935,0.27144,2.0486,2.5404,4.7401,1.002,NPC/G0_G1/H3
4.474,4.2717,-0.36924,0.040205,0.042689,2.1892,2.6704,4.6878,0.75873,NPC/G0_G1/H3
3.9137,4.4171,-0.45291,0.27008,0.24751,2.0808,4.2771,4.9681,2.0579,NPC/G0_G1/H3
4.235,4.2171,-0.26,0.093046,0.24356,2.049,3.3791,5.1135,1.6919,NPC/G0_G1/H3
4.2071,4.2897,-0.22378,-0.017771,0.28928,2.4422,3.0278,4.7255,1.4057,NPC/G0_G1/H3
3.4898,4.4077,-0.11524,0.34214,-0.02305,2.4582,3.637,4.8765,1.2121,NPC/G0_G1/H3
4.0558,4.4819,-0.02944,0.28169,0.1486,2.2328,3.8523,5.0389,1.8807,NPC/G0_G1/H3
4.3251,4.5185,-0.21974,0.24526,0.21883,1.8305,4.3724,5.3873,2.3451,NPC/G0_G1/H3
3.9257,4.6478,0.17331,0.42664,0.31042,2.5256,3.7499,5.0343,1.5616,NPC/G0_G1/H3
4.102,4.2425,-0.099678,0.40896,0.093847,2.5509,4.2676,5.3584,2.4426,NPC/G0_G1/H3
4.0617,4.5606,-0.19167,0.41528,0.34134,3.1073,4.2822,4.8945,1.6559,NPC/G0_G1/H3
4.1306,4.8,-0.27484,0.25846,0.042713,2.9187,3.9366,4.9052,1.143,NPC/G0_G1/H3
4.3582,4.4663,-0.49961,0.08984,0.022167,2.4904,4.2771,5.3171,1.9659,NPC/G0_G1/H3
3.4687,4.0332,0.27089,0.33028,0.164,1.7932,3.0223,4.8068,1.2758,NPC/G0_G1/H3
4.4627,4.2471,-0.0052265,0.038694,0.067131,3.5258,4.1217,4.7402,1.6586,NPC/G0_G1/H3
4.3054,4.4464,0.10766,0.26896,0.048824,2.0979,3.4453,5.1349,2.1399,NPC/G0_G1/H3
