event,FxCycle,H3K9ac,Cleaved-Caspase3,H3K14ac,phH3_S10,PAX6,H3K27ac,H3K4me3,Total H3,clusterid
2595,4.4649,5.1438,0.09272,0.13766,0.0084676,3.132,4.5657,5.1795,2.3556,fsom06
2596,4.3984,4.4979,-0.097599,0.11829,0.19823,1.6764,3.2135,4.7458,1.2387,fsom04
2598,3.9678,4.4162,-0.23011,0.24667,0.25542,2.6523,3.6894,4.714,0.75562,fsom06
2600,4.5343,4.9305,-0.58516,0.20242,0.22401,2.6731,3.8098,5.099,1.502,fsom05
2601,4.2993,4.5138,-0.25312,0.055658,0.13891,2.694,3.7169,4.8452,0.825,fsom05
2602,4.2787,4.5841,-0.21302,0.26087,0.4494,1.4059,3.8363,5.1778,2.0833,fsom03
2603,4.0042,4.3108,0.097076,0.21505,0.16147,1.807,2.9938,4.744,1.2082,fsom07
2604,3.651,3.8962,0.33573,0.37594,0.21253,1.5141,2.5956,4.6004,1.2949,fsom07
2605,4.3954,4.6095,-0.32559,0.13962,-0.049121,1.1923,3.1177,4.9049,0.98843,fsom03
2606,4.9612,4.3517,-0.14694,0.30488,-0.14133,1.0766,3.6981,5.056,0.90203,Other/G2
2611,4.3927,1.3726,4.7853,-0.063085,-0.035953,1.2771,2.7156,4.405,0.91337,fsom11
2613,4.1703,4.786,-0.8885,0.25033,0.3905,2.9703,3.8905,5.2371,1.6663,fsom06
2617,4.4769,3.7015,-0.21351,-0.048644,-0.16236,1.9439,3.3891,4.2963,0.86015,fsom04
2618,4.0106,4.0795,-0.27193,0.23314,0.11122,1.1376,2.9501,4.8518,1.1918,fsom03
2619,4.2537,4.4025,0.14951,0.25048,0.16482,1.7649,3.6657,5.0616,1.4875,fsom07
2620,4.8959,4.8592,-0.49257,0.18719,0.11497,2.0356,3.1558,5.2566,0.9383,NPC | PAX6+/G2
2621,5.0765,5.6501,-0.84083,0.10792,0.030041,2.4703,4.4864,5.4189,2.319,NPC | PAX6+/G2
2623,4.2639,4.4211,-0.37898,0.075412,-0.091839,2.0487,4.0677,4.8403,0.92857,fsom04
2624,4.4691,4.362,0.08828,0.34808,0.04175,2.0324,3.783,5.126,1.7654,fsom04
2628,4.1184,4.6753,-0.18234,0.3537,0.13333,2.4176,4.3296,5.2019,1.8057,fsom08
2629,3.7049,4.1731,0.56497,0.2973,0.32469,1.9242,3.2609,4.9432,1.2933,fsom07
2630,4.4919,4.6362,0.082698,0.28625,-0.066735,2.6171,3.3303,4.9099,1.0954,fsom08
2631,4.5368,4.1573,-0.051539,-0.06708,0.11977,2.8832,3.3324,4.568,1.4421,fsom06
2632,4.4737,4.483,-0.35129,0.17472,0.085157,2.0292,3.1354,4.8847,1.339,fsom04
2635,3.7121,4.3418,0.31711,0.27955,0.17573,2.4774,3.1608,4.7504,1.4314,fsom08
2638,4.6288,4.1461,-0.29106,0.14403,-0.29154,2.4699,3.0651,4.7712,0.68373,NPC | PAX6+/G2
2645,5.2746,5.2984,-0.8309,0.29454,-0.062598,2.1584,4.5257,5.7834,2.2822,NPC | PAX6+/G2
2646,3.9577,4.4853,0.027714,0.22839,0.0043967,0.82838,3.3258,5.0378,1.9467,fsom02
2647,5.0704,5.4513,-0.6437,0.40487,-0.18359,2.8974,4.0947,5.5303,1.7663,NPC | PAX6+/G2
2651,4.5512,5.2171,-0.4127,0.27183,0.025106,2.4755,3.5976,5.1034,1.5825,fsom05
2652,4.1808,4.1155,-0.13417,0.22415,0.047371,0.60792,2.7973,4.6966,0.83968,fsom03
2654,4.4307,4.2878,-0.23341,0.16644,0.061995,2.511,3.3276,5.1041,1.7288,fsom08
2655,4.8821,4.9231,-0.34724,0.054242,0.20731,2.7409,3.7369,5.2162,1.6647,NPC | PAX6+/G2
2657,5.1122,5.1954,-0.6688,0.12935,0.15389,3.0876,4.3759,5.5742,1.4808,NPC | PAX6+/G2
2658,4.5513,5.0114,-0.22961,0.19102,0.36697,2.7863,4.4458,5.1824,1.924,fsom05
2661,4.4451,4.7007,-0.4044,0.12051,0.20649,2.4881,4.038,4.9047,0.94103,fsom05
2662,5.0412,5.5216,-0.77305,0.35705,0.51006,3.4316,4.5514,5.5311,2.1999,NPC | PAX6+/G2
2669,4.1584,4.7003,0.068004,0.24702,0.071174,2.5129,4.0361,5.0481,2.0414,fsom08
2672,4.4779,4.3168,0.062507,-0.021972,-0.20611,2.9178,3.7325,4.5616,1.0002,fsom05
2674,4.4188,4.3611,-0.19799,0.082146,0.23822,2.2883,3.6714,4.9782,1.5974,fsom08
2679,4.4303,4.1176,-0.12793,0.18125,-0.044204,1.1046,3.0018,4.8965,0.68439,fsom03
2681,4.6935,4.6633,-0.66036,0.2654,0.044886,1.9553,3.3819,5.0594,1.1555,fsom04
2682,4.2906,4.4899,2.9078,0.21351,0.12934,2.4263,3.0983,4.9229,1.2711,fsom12
2683,4.2471,4.47,-0.14635,0.20307,0.010971,2.492,3.6108,5.0519,1.6459,fsom08
2684,4.2123,4.7785,1.411,0.22312,0.27482,2.866,3.8048,4.9693,1.5896,fsom13
2685,4.5789,4.0793,-0.21378,0.17895,-0.02975,2.1081,2.8036,4.7524,1.2624,fsom04
2686,4.8993,4.6293,-0.44368,0.36842,0.12838,1.1187,3.1644,5.1465,1.2169,Other/G2
2687,4.4146,4.5077,-0.27305,0.29762,0.39885,3.1522,3.65,5.1084,1.3988,fsom06
2693,3.9696,4.5349,0.33956,0.41014,-0.0066407,1.8616,3.7887,4.9712,2.4059,fsom07
2694,4.3869,4.4077,-0.15038,0.18773,0.0059235,3.9677,3.1792,5.0292,1.3115,fsom06
2698,5.2503,5.3448,-0.62814,0.17862,-0.20836,3.1883,4.3088,5.2612,1.8419,NPC | PAX6+/G2
2699,4.2096,3.781,-0.5158,0.24538,0.45094,2.5189,3.2596,4.8985,1.3009,fsom05
2702,4.7097,4.232,-0.21525,0.306,0.34723,1.4843,3.6,5.338,1.4817,Other/G2
2704,4.5233,4.3589,-0.30117,-0.030828,0.068698,2.1078,3.021,4.9178,1.4291,fsom04
2706,1.6673,0.49606,4.4292,0.28523,0.21821,0.72807,1.6376,2.2348,0.3203,fsom11
2707,4.6018,4.6096,1.4145,0.33827,0.29025,3.091,4.3752,5.0076,2.1466,fsom13
2708,2.9366,1.7601,4.0664,0.24195,0.29816,0.58207,1.6824,2.8906,0.65326,fsom11
2709,3.9733,4.5623,0.13542,0.41396,-0.067995,1.1471,3.7261,4.7753,1.3377,fsom02
2710,5.1782,5.1273,-0.77253,0.014652,0.098199,2.9419,3.5845,5.1415,1.2019,NPC | PAX6+/G2
2711,4.4995,4.3393,-0.021748,0.16666,0.078118,1.033,3.1303,4.9683,1.5422,fsom03
2712,4.3499,4.7167,-0.27445,0.20027,-0.088166,3.8378,4.7369,5.4033,2.3277,fsom06
2713,3.4472,4.5232,0.31403,0.36096,0.27101,0.44931,2.7251,4.3496,0.70266,fsom02
2714,5.1237,4.8227,-1.4566,0.28625,0.65441,1.8092,4.8925,6.0998,3.1675,NPC | PAX6+/G2
2715,3.9365,4.3513,-0.089304,0.24245,0.16027,0.99145,3.2889,4.9196,1.1727,fsom02
2717,4.5539,4.8942,0.22141,-0.035426,0.25479,3.0703,5.0771,5.03,1.4874,fsom06
2721,3.4817,4.2737,0.011944,0.19668,0.41334,2.1723,2.6081,4.5904,0.97278,fsom08
2725,4.847,5.9852,-0.62555,0.21973,0.51216,3.4205,5.4556,5.6201,2.9532,NPC | PAX6+/G2
2726,4.0221,4.3809,0.56675,0.42397,0.49272,1.9559,3.3499,5.1493,1.1293,fsom07
2727,4.3401,4.8422,-0.56656,0.12192,0.21675,1.3324,4.4224,5.3326,1.9861,fsom03
2728,4.641,5.031,-0.066768,0.19048,-0.060935,2.1415,4.0984,5.244,1.7701,fsom04
2729,4.1661,4.6521,-0.24588,0.20849,0.13354,2.2899,4.2534,5.2643,2.0001,fsom08
2731,4.4413,4.3245,-0.3178,0.087296,0.13659,1.4963,3.8743,5.3454,2.2301,fsom03
2732,4.4188,4.7812,0.37152,0.24841,0.15653,2.4379,4.4108,5.1404,1.0364,fsom08
2733,2.1834,0.69894,4.1093,0.19445,0.22535,0.65443,1.6145,2.7938,0.51777,fsom11
2735,4.1861,4.2169,0.18573,-0.067944,0.38759,2.8007,3.1459,4.5213,1.1153,fsom08
2737,4.0123,4.6137,0.154,0.34907,-0.041635,3.0539,4.0951,5.0906,1.662,fsom06
2739,5.1305,5.3299,-0.73434,0.24737,0.10175,3.0927,4.8848,5.6365,2.0655,NPC | PAX6+/G2
2742,3.8659,4.7595,0.35305,0.349,0.35547,3.1085,4.3365,4.9458,1.7905,fsom08
2745,5.1423,5.2157,-0.90294,0.13566,0.20176,2.2495,3.9547,5.4791,1.4006,NPC | PAX6+/G2
2746,4.4331,4.4473,0.41974,0.25409,-0.028387,1.0479,4.2057,5.3526,2.2725,fsom02
2747,4.0745,4.5998,-0.059052,0.18315,0.16053,2.1969,3.2752,4.77,1.3905,fsom08
2748,4.35,4.264,0.33168,0.30433,0.21943,2.8107,3.282,4.9736,1.5835,fsom08
2751,4.5572,4.3059,-0.064134,0.061566,0.12054,2.4966,3.0925,4.8794,0.68531,fsom08
2752,4.3174,4.163,0.012788,0.24955,0.12581,0.65965,2.7666,4.82,1.0129,fsom02
2754,4.3875,4.2244,-0.31659,0.20435,0.077488,0.77906,3.536,5.1959,1.2883,fsom03
2755,4.3135,4.4316,-0.43715,0.25886,0.20291,2.3737,3.7833,5.1072,1.5437,fsom05
2756,4.5465,4.3255,0.068981,0.21377,0.18511,2.4128,3.9658,5.4431,1.8271,fsom08
2757,3.5492,4.5822,0.2831,0.55881,0.35446,1.8467,3.4645,5.1549,1.6572,fsom07
2760,3.4751,4.1242,0.2254,0.096902,0.21498,2.0963,3.4066,4.4275,1.34,fsom08
2766,3.9749,4.4529,-0.51096,0.35124,0.1964,2.4411,3.9367,5.002,1.2314,fsom06
2767,3.9862,4.2294,-0.21507,0.35279,0.12766,2.15,2.7102,4.7679,1.5252,fsom08
2772,3.9991,4.8073,0.054054,0.094851,0.33222,2.7955,4.2727,4.8578,2.0687,fsom06
2773,4.0891,4.4738,1.0934,0.7067,1.0805,3.9428,3.755,5.4168,1.8571,fsom06
2774,4.2713,4.3078,-0.24319,0.25999,0.25387,1.9701,4.0735,5.1161,2.1455,fsom04
2778,4.4497,4.2014,-0.63075,0.22146,0.35727,1.4988,4.3176,5.5171,2.2983,fsom03
2780,4.4832,3.7211,0.036578,-0.081906,-0.006669,2.1557,3.0183,4.3596,0.82249,fsom04
2782,4.6736,4.2097,-0.34906,0.16609,-0.021388,1.9749,3.1285,4.8651,1.3154,fsom04
2783,5.0751,5.5802,-0.53452,0.63904,0.13367,2.1246,3.9845,5.3569,1.7297,NPC | PAX6+/G2
2785,4.6231,3.8768,-0.20706,0.24078,0.031002,1.3062,2.8799,4.9144,1.2414,fsom03
2787,4.3347,4.3498,-0.20605,0.22729,0.11719,1.0042,3.0339,4.9433,2.2152,fsom03
2791,5.1613,4.5772,-1.2098,0.52871,5.7022,3.7502,5.6713,5.8492,2.5886,NPC | PAX6+/Mitosis
2793,4.3322,5.1568,0.56544,0.34341,-0.065207,3.9504,4.0507,5.0007,1.5476,fsom06
2794,4.2894,4.3112,-0.20415,0.22608,0.24411,2.8176,3.548,5.1149,1.7414,fsom05
2795,4.365,4.1612,-0.3385,0.61644,0.25424,1.0261,3.4273,5.1598,1.5456,fsom03
2796,4.2396,3.9977,-0.051742,0.47223,0.17548,2.302,3.5742,5.1436,1.6203,fsom08
2797,4.678,4.1477,-0.44897,0.27198,0.085553,2.4565,3.2132,5.0021,1.5377,NPC | PAX6+/G2
2798,4.2634,4.6705,-0.52287,0.72381,0.41761,2.4643,3.8684,5.2826,1.4617,fsom05
2799,0.2421,0.3664,3.571,0.037854,0.16286,0.18356,0.2842,0.8748,0.067981,fsom11
2803,4.4706,4.1063,0.31059,0.1544,-0.38172,2.4719,3.6908,4.9019,0.5924,fsom08
2804,4.4587,4.5189,-0.33896,0.10658,0.027475,2.1445,3.1251,4.8268,0.98367,fsom05
2805,4.5242,4.7156,-0.56654,0.2909,0.24492,2.4477,4.308,5.6054,2.0946,fsom05
2806,4.0108,4.3929,-0.10621,0.40046,0.24344,2.3387,2.9852,4.8752,1.3441,fsom08
2809,4.2702,4.3678,-0.1675,0.43591,0.15896,1.0522,3.7848,5.3776,1.9331,fsom03
2812,4.4153,4.3257,0.27263,0.18804,-0.25466,3.0676,3.2882,4.7513,1.4614,fsom06
2814,4.3121,4.3367,-0.4506,0.39325,-0.051007,1.1285,3.6497,5.159,1.951,fsom03
2815,5.1572,5.2356,-0.55344,0.18901,0.57911,3.2783,4.0709,5.4199,1.6539,NPC | PAX6+/G2
2816,5.197,4.8961,-0.62595,0.16838,0.34721,3.1154,3.6146,5.4159,1.6505,NPC | PAX6+/G2
2818,4.1658,4.2188,-0.24818,0.34016,0.33659,2.6783,3.9067,4.9162,1.456,fsom06
2819,4.9215,5.0927,-0.53302,0.23746,-0.049875,1.5964,3.3953,5.0715,1.4364,Other/G2
2820,4.355,4.5135,0.041388,0.19743,-0.15663,2.4733,3.8126,4.8294,1.2704,fsom08
2822,3.9548,4.4598,-0.36517,0.26381,0.082425,1.1001,4.3515,5.2962,2.3278,fsom03
2824,4.4745,4.4784,0.022764,0.14971,-0.25565,0.53875,3.407,4.825,0.88953,fsom03
2825,4.3338,4.4344,-0.50205,0.46953,0.21325,1.8724,3.567,5.1687,1.36,fsom04
2826,4.6739,5.3474,-0.30139,0.097479,0.11248,3.1143,4.1626,5.0761,1.034,NPC | PAX6+/G2
2827,4.2571,4.5413,-0.40468,0.15409,0.062258,0.92873,3.5403,5.2078,1.9742,fsom03
2828,5.0402,4.9155,-1.4423,0.37804,0.62428,1.5465,4.7948,5.8851,2.9531,Other/G2
2829,3.6096,1.7675,4.582,-0.014456,0.18625,1.619,1.833,3.6305,0.58866,fsom11
2831,4.3321,4.5634,-0.19213,0.19486,0.063237,2.3298,3.2184,4.7952,1.1068,fsom08
2832,4.5128,5.5614,-0.059705,0.50763,0.35771,2.657,4.0764,5.0451,1.2446,fsom05
2833,4.3212,4.5019,-0.10678,0.075328,0.70784,3.082,3.5336,5.1135,1.8254,fsom06
2835,4.144,4.8647,-0.21619,0.28425,0.1105,0.52014,4.1294,5.1624,1.9381,fsom03
2836,4.5524,4.3696,-0.35339,0.034249,-0.066724,1.7536,2.4648,4.5159,1.1996,fsom04
2838,4.1315,4.7795,0.058253,0.15766,0.10034,0.72228,3.4306,4.8652,1.1283,fsom02
2845,4.8168,5.3778,-0.22497,0.14778,-0.29931,2.9658,4.5742,5.1749,1.1324,NPC | PAX6+/G2
2849,4.3461,4.5839,-0.15342,0.15878,0.30467,3.1717,4.3368,5.0396,1.7961,fsom06
2851,4.4562,4.1352,-0.40471,0.30555,0.31014,1.8009,4.4173,5.6536,2.598,fsom03
2853,4.4375,4.7535,0.24531,0.19847,-0.058865,1.279,3.873,5.0859,2.4771,fsom03
2854,3.9313,4.6144,0.01552,-0.073481,0.96733,3.819,4.5589,5.0547,1.6311,fsom06
2858,4.0084,5.2287,-0.051599,0.36706,0.45115,3.3824,4.9126,5.3408,2.1206,fsom06
2860,4.364,4.2626,-0.10777,0.23476,0.073843,1.1774,3.1454,5.0989,1.9124,fsom03
2861,4.4364,4.3222,-0.17498,0.17111,-0.14155,1.8065,2.9771,4.8732,1.2383,fsom04
2864,3.8625,4.0353,-0.086269,0.2023,0.3132,0.88765,3.3866,5.0923,1.0215,fsom02
2869,4.5313,4.2931,0.53212,0.12783,0.11772,2.3045,3.2479,4.8348,0.75863,fsom08
2870,4.4617,4.5769,-0.39308,0.27099,0.16993,2.3635,4.4239,5.3284,2.3557,fsom05
2871,4.4447,4.6324,-0.23551,0.36766,0.29382,1.153,3.8252,5.3521,1.7306,fsom03
2872,4.5124,4.2109,-0.65504,0.37413,0.095881,2.6827,3.7381,5.0015,1.4799,fsom05
2873,4.3879,3.9695,-0.052101,0.32996,0.32882,3.3905,4.0541,5.1789,1.3881,fsom06
2874,4.3107,4.2017,-0.067023,0.20719,0.25461,1.7113,2.9988,4.7871,1.038,fsom04
2876,4.492,3.4944,-0.41588,0.31579,0.4872,1.2228,3.6982,5.2889,2.1705,fsom03
2877,4.3406,4.2638,-0.28375,0.26003,0.1833,1.8097,3.8656,5.155,1.9075,fsom04
2878,5.025,5.1683,-0.65928,0.31731,0.17031,2.5559,4.1555,5.0911,1.3416,NPC | PAX6+/G2
2880,4.3497,4.8983,0.65972,-0.003973,0.083316,3.1161,3.8688,4.6693,1.5209,fsom13
2881,3.6344,4.8406,0.021058,0.32522,0.36633,1.3704,3.7932,4.8017,1.4674,fsom07
2882,3.9477,4.3766,0.33116,0.33276,0.1394,1.2425,3.9103,5.2077,2.3992,fsom07
2883,4.2006,4.2685,-0.53151,0.29962,0.088736,1.1889,3.747,5.3009,1.5412,fsom03
2884,4.4677,4.2379,-0.13948,0.19606,0.4398,2.8708,3.9587,4.5858,1.1106,fsom06
2886,4.3156,4.4309,-0.6,0.25261,0.14112,2.684,3.9564,5.1359,1.4931,fsom05
2889,4.4003,4.1203,0.0051996,0.018119,0.21465,1.6446,3.1784,4.8903,1.8956,fsom04
2891,4.0934,5.2271,-0.17678,0.27135,0.1878,1.3131,3.7925,5.1307,1.6585,fsom03
2892,4.0525,4.5157,-0.15174,0.25259,0.03419,0.88993,3.9109,5.4385,2.1521,fsom03
2894,4.8611,5.33,-0.15242,0.36566,0.074321,3.1823,4.2061,5.3479,2.019,NPC | PAX6+/G2
2895,3.6904,3.6199,-0.14355,0.1715,0.16644,1.6023,2.1201,4.2649,0.5969,fsom07
2896,4.4767,4.3208,-0.58311,0.20337,0.12121,2.1631,2.9349,5.0115,1.5777,fsom05
2898,4.5116,4.0801,-0.44623,0.23019,0.07291,2.3807,3.4626,5.127,1.6164,fsom05
2899,4.8895,5.0353,-1.0649,0.174,0.097077,1.9356,4.3339,5.8125,2.352,NPC | PAX6+/G2
2901,4.6205,4.4599,-0.1288,0.23564,0.029548,1.1781,4.0714,5.3555,1.5846,fsom03
2903,5.0876,5.3296,-0.69564,0.42686,-0.35509,3.1254,4.4506,5.6347,1.5777,NPC | PAX6+/G2
2904,4.9182,4.9232,-0.79891,0.51913,0.1136,2.3084,4.3489,5.172,1.1455,NPC | PAX6+/G2
2906,4.4786,4.1887,1.4209,0.088011,0.00024711,1.1148,3.2455,4.856,0.56569,fsom13
2908,4.4097,4.0829,-0.35324,0.20942,0.1633,2.4199,2.6589,4.7471,0.76563,fsom05
2910,3.899,4.9232,-0.31351,0.46588,0.49728,2.4462,4.1406,5.2311,1.6665,fsom06
2911,4.4686,4.5693,-0.60932,0.31407,-0.040145,1.1173,4.011,4.8255,1.1313,fsom03
2913,4.1968,4.8291,-0.43588,0.32689,0.13179,1.4216,3.9898,5.1816,2.0904,fsom03
2915,4.4339,4.52,-0.1086,0.25215,0.012982,1.739,3.5774,4.8596,1.7533,fsom04
2917,4.3412,4.639,-0.29106,-0.008058,0.3467,2.9435,4.3538,4.7896,1.1789,fsom06
2918,4.2781,4.6936,-0.065338,0.28183,0.11545,1.2292,4.0137,4.5615,1.9304,fsom03
2921,4.4874,4.2276,0.70638,0.14796,-0.20131,2.5973,4.1063,4.9137,1.3018,fsom13
2922,4.2915,4.5298,-0.094782,0.13968,-0.089896,0.98676,4.062,5.2938,1.375,fsom03
2923,4.4027,4.2793,-0.21642,0.34399,0.086564,1.6407,3.3899,5.1555,1.9611,fsom04
2926,4.3189,5.4519,-0.58817,0.5998,0.52494,2.8285,4.4615,5.3592,2.0708,fsom06
2927,4.4176,5.2895,-0.19108,0.35549,0.0069446,1.5356,4.1434,5.4969,2.1283,fsom03
2928,5.1751,5.3518,-0.60092,0.137,-0.075751,4.162,5.1627,5.7061,2.7913,NPC | PAX6+/G2
2930,4.7214,4.8567,-0.26512,0.26156,-0.11226,1.0859,4.5437,5.1549,1.7253,Other/G2
2931,4.617,4.529,-0.28343,0.2257,0.09272,2.205,3.9777,5.0362,1.272,fsom05
2932,4.3331,5.5362,-0.67272,0.78714,0.24869,1.843,3.9854,5.2885,1.9318,fsom04
2934,3.9825,4.4211,-0.29885,0.33467,0.23978,1.4558,3.4035,5.1297,1.7145,fsom03
2935,4.4421,4.2168,-0.43155,0.044875,0.067927,2.6162,3.5379,5.0751,1.4532,fsom05
2937,4.5422,4.0027,0.17467,0.20602,0.13941,1.0983,3.1898,5.1145,1.2724,fsom03
2938,4.4123,3.9864,-0.2175,0.20845,0.13244,1.2184,2.925,4.814,0.88261,fsom03
2939,4.5821,3.483,-0.12925,-0.042511,0.18686,2.1294,2.9139,4.3813,1.0235,fsom04
2940,3.8301,4.154,0.34362,0.20288,0.17488,2.7291,3.2702,4.8744,1.5809,fsom08
2941,2.8558,2.6463,1.9862,1.1256,1.2625,1.3794,0.50648,0.020671,0.33914,fsom12
2942,3.7831,4.425,0.015266,0.2383,0.30687,2.335,3.1613,4.5895,0.89228,fsom08
2943,4.1809,4.2852,-0.51473,0.39035,0.12601,0.90282,3.4821,5.3962,2.0281,fsom03
2944,4.3459,4.1773,-0.078233,0.20606,0.03445,0.89445,2.7857,4.7151,1.2456,fsom03
2945,4.9893,5.4965,-0.56951,0.38692,-0.048143,0.58357,4.4211,5.2656,1.8258,Other/G2
2947,4.1348,4.4847,-0.11014,0.47291,0.58878,1.776,3.4135,4.9118,0.96693,fsom07
2948,4.4582,4.0591,-0.17253,0.080129,0.021905,2.1765,2.7634,4.6617,1.129,fsom04
2949,4.2264,4.3712,-0.27346,0.20055,0.1778,2.0104,3.0924,4.8962,1.4481,fsom04
2950,4.2404,4.0067,0.012529,0.16294,-0.053126,1.9854,3.0735,4.9462,1.4131,fsom04
2953,4.4957,4.196,-0.43261,0.4052,0.25172,3.1065,3.4315,5.0555,1.5015,fsom05
2955,4.6341,5.196,-0.82574,0.11857,0.31544,2.6489,5.075,5.4994,2.4481,NPC | PAX6+/G2
2958,4.1441,4.2729,0.27595,0.24384,-0.031209,1.2233,2.5253,4.578,1.3432,fsom02
2959,4.4779,4.3382,0.10833,0.076696,-0.19044,2.2199,3.3437,4.9458,1.3695,fsom04
2966,5.0489,5.2219,-0.83599,0.29287,-0.26237,3.3422,4.8199,5.8359,2.7678,NPC | PAX6+/G2
2967,5.0445,5.2286,-0.28656,0.70382,0.35587,3.1079,4.335,5.7023,2.3773,NPC | PAX6+/G2
2968,4.3555,4.4497,-0.39898,0.21942,0.095002,2.106,3.1005,4.7535,0.61772,fsom04
2969,4.9742,4.8544,0.047047,0.43255,0.48042,3.2496,3.9784,5.7812,2.3455,fsom06
2970,3.9722,4.3286,-0.41549,0.24012,0.22989,2.5313,3.3232,4.9743,1.4512,fsom06
2971,4.5307,4.2435,-0.18812,0.35105,0.47775,0.91499,3.865,5.0706,1.6127,fsom03
2972,4.4224,4.014,-0.4299,0.25231,-0.24277,0.9156,4.1229,5.1885,1.6049,fsom03
2973,4.3787,5.0094,-0.054572,0.27338,0.19142,2.6424,3.2787,4.9887,0.99234,fsom08
2974,4.9982,5.2145,-0.40758,0.23833,-0.3147,2.65,4.3106,5.2334,1.6018,NPC | PAX6+/G2
2976,4.4878,4.4102,-0.14045,0.17506,0.053789,2.4542,2.9593,4.9264,1.4018,fsom08
2977,4.4659,3.845,-0.22552,0.13147,-0.1507,0.57088,2.9227,4.8135,0.70772,fsom03
2980,4.7439,5.6712,-0.36704,0.62426,0.51594,2.8296,4.6696,5.4827,2.0154,NPC | PAX6+/G2
2981,5.224,5.4138,-0.41971,0.28965,-0.15185,3.2144,4.6632,5.515,1.922,NPC | PAX6+/G2
2983,4.6362,4.8906,-0.32887,0.18969,0.089006,2.0034,3.6998,5.0417,1.2141,fsom04
2984,4.406,4.1099,-0.03678,0.18899,0.25051,0.99997,3.2638,5.146,1.2228,fsom02
2985,4.5817,5.7173,0.069118,0.46445,0.60764,2.4877,4.1517,5.2555,1.6987,fsom06
2986,3.7651,4.7169,0.21852,0.56848,0.31152,0.82571,3.7463,5.0895,1.7024,fsom02
2989,3.7213,4.0737,-0.2846,0.16933,0.1568,1.8586,3.6189,4.6175,0.6539,fsom07
2990,5.1832,5.7286,-0.86868,0.37374,0.17716,2.9915,4.5901,5.441,2.1454,NPC | PAX6+/G2
2991,4.3849,4.2075,-0.24852,0.11669,0.03624,1.8684,2.6943,4.488,1.1689,fsom04
2992,4.8028,4.3038,-0.62056,0.4026,-0.19961,2.208,3.4783,5.2276,1.2141,NPC | PAX6+/G2
2994,3.1758,4.8302,-0.012919,-0.0461,0.59529,3.105,4.318,4.529,1.1017,fsom08
2996,4.2735,4.692,-0.52979,0.022014,0.32657,3.3178,4.7585,5.5207,2.6852,fsom06
2998,3.2721,1.7799,4.2558,0.086306,0.25778,0.56828,1.1862,2.6379,0.22407,fsom11
2999,4.602,5.0395,-0.58582,1.4617,5.5948,2.1824,4.4142,5.4215,2.0553,NPC | PAX6+/Mitosis
3000,3.839,2.3991,5.1646,0.040853,0.19067,1.1037,2.7087,4.0231,0.36118,fsom11
3002,4.3608,4.2358,-0.70279,0.12823,0.059789,1.2123,3.7782,5.2497,2.1084,fsom03
3003,3.65,4.2419,-0.14323,0.55566,0.23319,0.81678,2.9683,4.8552,1.7348,fsom02
3004,4.3407,4.6341,0.4399,0.15053,0.30177,2.9137,4.0896,4.4724,1.4827,fsom06
3005,4.7262,4.9864,-0.30378,0.22128,0.1381,2.8052,4.0062,5.127,1.7649,NPC | PAX6+/G2
3007,4.236,4.453,-0.0041557,0.19461,0.022846,2.5584,3.9381,5.0241,2.081,fsom08
3009,4.3358,4.8898,-0.49585,0.46218,0.18374,1.5419,4.5866,5.0976,1.962,fsom03
3010,4.194,4.8163,-0.3021,0.25794,0.099594,2.6147,3.9281,5.1588,2.4515,fsom05
3011,4.3944,4.6675,-0.21687,0.32104,0.15085,2.4814,3.979,5.0553,1.9144,fsom08
3015,4.1961,4.2427,-0.59931,0.32282,0.30592,2.1192,3.5259,5.3754,1.3163,fsom04
3017,4.3769,4.8111,-0.033193,0.017882,0.10214,0.29441,3.1947,4.8681,1.8563,fsom03
3018,4.5475,4.0401,0.052917,0.19206,0.14331,1.2767,3.4797,4.8914,1.2815,fsom03
3019,5.1541,5.2011,-0.35712,0.19279,-0.21088,1.543,4.0502,5.3219,1.5757,Other/G2
