event,mfi,gate,OmiqFileIndex,genotype,feature
712,0.57753,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
764,0.86378,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
796,0.75303,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
833,0.50142,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
860,0.76418,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
873,0.43643,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
903,0.42238,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
940,0.43436,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1004,0.65879,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1028,0.81438,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1052,0.62623,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1067,0.6988,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1100,1.4338,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1131,0.67147,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1145,0.89644,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1168,0.66834,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1191,0.75697,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1209,0.70972,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1246,0.49424,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1291,0.53111,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1306,0.53474,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1324,0.43973,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1337,0.48797,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1351,0.4362,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1363,0.94357,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1382,0.77545,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1402,0.45964,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1419,0.42643,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1447,0.58452,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1482,0.61169,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1511,0.60164,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1537,0.52229,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1558,0.65112,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1603,0.56807,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1632,0.42847,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1663,1.1784,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1681,0.50975,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
1699,0.43938,H3,CPI_ipsc_KO DMSO H3+Me1_057.fcs,KMT2D10.4,H3K4me1
