event,H3K9ac,LD,Total H3,gate,treatment
4970,2.4843,1.2194,2.0432,H3 Total,SAHA 05 um
4971,2.643,1.8271,1.9484,H3 Total,SAHA 05 um
4972,1.6078,0.54681,1.3538,H3 Total,SAHA 05 um
4973,2.2603,0.79946,1.4392,H3 Total,SAHA 05 um
4975,2.5327,0.42037,1.181,H3 Total,SAHA 05 um
4976,1.8251,0.63046,2.9764,H3 Total,SAHA 05 um
4977,3.6954,1.9695,1.4504,H3 Total,SAHA 05 um
4978,2.1408,1.6552,2.3055,H3 Total,SAHA 05 um
4981,2.1676,1.1021,1.252,H3 Total,SAHA 05 um
4983,2.2627,1.0075,0.93623,H3Kac,SAHA 05 um
4984,1.7991,0.45597,2.2164,H3 Total,SAHA 05 um
4985,1.6362,0.9045,1.7505,H3 Total,SAHA 05 um
4988,0.75323,1.3377,1.4402,H3 Total,SAHA 05 um
4992,2.4035,0.59764,0.7689,H3Kac,SAHA 05 um
4993,2.7035,0.69719,0.73818,H3Kac,SAHA 05 um
4994,1.0752,0.39227,2.4178,H3 Total,SAHA 05 um
4995,3.913,0.52161,2.8163,H3 Total,SAHA 05 um
4996,2.6953,0.38411,0.8125,H3Kac,SAHA 05 um
4997,1.4274,0.74527,1.2697,H3 Total,SAHA 05 um
4998,2.3973,1.3414,1.9202,H3 Total,SAHA 05 um
4999,1.9149,0.84005,2.8864,H3 Total,SAHA 05 um
5001,1.7402,0.72407,2.9293,H3 Total,SAHA 05 um
5002,1.3846,0.59614,1.9138,H3 Total,SAHA 05 um
5003,2.5086,0.36707,0.92862,H3Kac,SAHA 05 um
5004,1.5628,1.0185,1.5821,H3 Total,SAHA 05 um
5006,1.2395,0.9417,0.69812,H3Kac,SAHA 05 um
5007,2.3889,0.6242,1.5082,H3 Total,SAHA 05 um
5009,2.1911,1.681,2.0823,H3 Total,SAHA 05 um
5010,1.6946,1.4708,2.8548,H3 Total,SAHA 05 um
5013,1.6522,0.56829,2.2306,H3 Total,SAHA 05 um
5014,1.8721,0.44906,2.2531,H3 Total,SAHA 05 um
5018,3.2421,0.78389,1.5262,H3 Total,SAHA 05 um
5019,1.7745,0.90248,2.1196,H3 Total,SAHA 05 um
5020,1.7356,1.3016,1.073,H3 Total,SAHA 05 um
5021,2.6421,0.57082,1.181,H3 Total,SAHA 05 um
5022,2.2201,0.70092,1.3051,H3 Total,SAHA 05 um
5023,1.8957,1.144,2.5038,H3 Total,SAHA 05 um
5024,2.6163,1.5618,1.7569,H3 Total,SAHA 05 um
5025,0.54721,1.7871,3.0118,H3 Total,SAHA 05 um
5026,2.6485,1.0075,3.224,H3 Total,SAHA 05 um
5027,2.1148,0.63352,1.9468,H3 Total,SAHA 05 um
5028,3.1526,0.91606,2.8028,H3 Total,SAHA 05 um
5030,0.30693,0.56779,1.3642,H3 Total,SAHA 05 um
5031,1.0374,0.71886,2.4419,H3 Total,SAHA 05 um
5032,1.3254,0.29121,1.2773,H3 Total,SAHA 05 um
5033,1.2559,1.5291,0.76699,H3Kac,SAHA 05 um
5034,2.4571,1.2061,1.7538,H3 Total,SAHA 05 um
5035,2.7783,0.33778,0.83841,H3Kac,SAHA 05 um
5036,3.5377,0.61307,2.0211,H3 Total,SAHA 05 um
5037,1.4874,0.72355,2.2422,H3 Total,SAHA 05 um
5038,1.587,0.77081,0.97926,H3Kac,SAHA 05 um
5039,1.6842,0.80273,3.214,H3 Total,SAHA 05 um
5040,0.6364,1.7235,1.4369,H3 Total,SAHA 05 um
5041,2.6583,0.60262,1.6674,H3 Total,SAHA 05 um
5042,2.6,0.38283,1.0734,H3 Total,SAHA 05 um
5043,1.8388,0.61246,0.92452,H3Kac,SAHA 05 um
5044,2.8197,0.71713,1.0307,H3 Total,SAHA 05 um
5047,2.7184,0.88743,1.3029,H3 Total,SAHA 05 um
5048,1.4242,0.80245,0.88424,H3Kac,SAHA 05 um
5049,1.6057,0.90571,0.80657,H3Kac,SAHA 05 um
5050,0.86969,0.64654,1.171,H3 Total,SAHA 05 um
5054,3.1836,0.78058,0.51719,H3Kac,SAHA 05 um
5055,1.6679,1.6029,0.25571,H3Kac,SAHA 05 um
5057,1.3088,0.52141,1.4174,H3 Total,SAHA 05 um
5058,3.9133,1.1712,1.229,H3 Total,SAHA 05 um
5059,0.81816,0.78721,0.91372,H3Kac,SAHA 05 um
5060,1.8619,1.4754,2.1304,H3 Total,SAHA 05 um
5061,2.4329,1.7808,2.6337,H3 Total,SAHA 05 um
5063,2.5151,1.4616,1.8414,H3 Total,SAHA 05 um
5064,2.6789,1.5456,1.1889,H3 Total,SAHA 05 um
5065,2.9108,0.57061,0.7482,H3Kac,SAHA 05 um
5066,1.7258,1.1084,1.4417,H3 Total,SAHA 05 um
5067,2.7592,2.0356,2.3854,H3 Total,SAHA 05 um
5069,1.7983,0.68834,2.7425,H3 Total,SAHA 05 um
5070,1.4943,0.48259,2.14,H3 Total,SAHA 05 um
5071,1.6348,0.50771,0.99094,H3Kac,SAHA 05 um
5073,3.1357,0.82158,1.355,H3 Total,SAHA 05 um
5075,3.8244,0.98615,1.73,H3 Total,SAHA 05 um
5076,3.1786,0.88594,1.1094,H3 Total,SAHA 05 um
5079,1.8019,1.6354,0.25847,H3Kac,SAHA 05 um
5080,2.541,0.65015,2.7644,H3 Total,SAHA 05 um
5082,0.98519,1.9399,2.7416,H3 Total,SAHA 05 um
5083,2.3929,0.56196,1.1824,H3 Total,SAHA 05 um
5085,2.0605,1.205,2.0956,H3 Total,SAHA 05 um
5086,2.1927,0.44989,1.3018,H3 Total,SAHA 05 um
5088,0.8127,1.2205,0.42706,H3Kac,SAHA 05 um
5089,0.028048,1.4968,1.7466,H3 Total,SAHA 05 um
5090,1.3511,0.41168,2.9184,H3 Total,SAHA 05 um
5091,2.1448,0.48108,1.8634,H3 Total,SAHA 05 um
5092,3.1974,0.45916,1.1182,H3 Total,SAHA 05 um
5093,2.5526,1.1681,2.8479,H3 Total,SAHA 05 um
5095,2.4738,0.53867,1.3803,H3 Total,SAHA 05 um
