,H3K14ac,phH3_S10,H3K4me3,Total H3,Caspase3,PAX6,H3K27ac,H3K9ac,FxCycle
fsom_02,0.45,0.24,4.8,0.8,0.03,1.25,3,4.12,3.57
fsom_09,0.78,0.54,5.39,1.68,-0.38,3.25,4.67,5.35,4.2
fsom_04,0.47,0.23,4.85,0.93,1.42,2.14,3.3,4.34,3.63
fsom_01,0.53,0.24,5.1,1.23,-0.15,1.24,3.74,4.52,3.78
fsom_05,0.79,0.37,5.44,1.69,-0.35,1.78,4.44,5.24,4.23
fsom_08,0.55,0.23,5.09,1.18,-0.15,2.81,3.97,4.82,3.99
fsom_03,0.13,0.19,3.62,0.24,4.68,0.69,1.83,1.72,3.41
fsom_10,1.55,5.41,5.47,1.24,-0.34,3.49,4.12,4.72,4.5
fsom_07,0.3,0.27,5.02,0.62,4.94,1.91,2.98,3.71,3.78
fsom_06,0.44,0.21,4.77,0.77,-0.07,2.45,3.19,4.32,3.63
